"site","year","SST"
"OTIS","2006-01-01",0
"CHSWRR","2006-01-01",0
"CHSWRG","2006-01-01",0
"PSSB","2006-01-01",0
"PSFB","2006-01-01",0
"SYSE","2006-01-01",0
"SYSW","2006-01-01",0
"SYLM","2006-01-01",0
"JBAB","2006-01-01",0
"NRBW","2006-01-01",0
"MEBB","2006-01-01",0
"MEKB","2006-01-01",0
"MEPA","2006-01-01",0
"SWAIN","2006-01-01",0
"OTIS","2006-02-01",-0.788299560546875
"CHSWRR","2006-02-01",-0.901519775390625
"CHSWRG","2006-02-01",-0.901519775390625
"PSSB","2006-02-01",-0.835784912109375
"PSFB","2006-02-01",-0.835784912109375
"SYSE","2006-02-01",-0.917449951171875
"SYSW","2006-02-01",-0.917449951171875
"SYLM","2006-02-01",-0.917449951171875
"JBAB","2006-02-01",-0.856658935546875
"NRBW","2006-02-01",-1.26101684570312
"MEBB","2006-02-01",-1.26101684570312
"MEKB","2006-02-01",-1.26101684570312
"MEPA","2006-02-01",-1.26101684570312
"SWAIN","2006-02-01",-1.27462768554688
"OTIS","2006-03-01",-1.616943359375
"CHSWRR","2006-03-01",-2.52334594726562
"CHSWRG","2006-03-01",-2.52334594726562
"PSSB","2006-03-01",-2.43527221679688
"PSFB","2006-03-01",-2.43527221679688
"SYSE","2006-03-01",-2.66009521484375
"SYSW","2006-03-01",-2.66009521484375
"SYLM","2006-03-01",-2.66009521484375
"JBAB","2006-03-01",-2.34619140625
"NRBW","2006-03-01",-2.65219116210938
"MEBB","2006-03-01",-2.65219116210938
"MEKB","2006-03-01",-2.65219116210938
"MEPA","2006-03-01",-2.65219116210938
"SWAIN","2006-03-01",-2.08871459960938
"OTIS","2006-04-01",-2.655029296875
"CHSWRR","2006-04-01",-3.85305786132812
"CHSWRG","2006-04-01",-3.85305786132812
"PSSB","2006-04-01",-3.63571166992188
"PSFB","2006-04-01",-3.63571166992188
"SYSE","2006-04-01",-3.87179565429688
"SYSW","2006-04-01",-3.87179565429688
"SYLM","2006-04-01",-3.87179565429688
"JBAB","2006-04-01",-3.47512817382812
"NRBW","2006-04-01",-3.76272583007812
"MEBB","2006-04-01",-3.76272583007812
"MEKB","2006-04-01",-3.76272583007812
"MEPA","2006-04-01",-3.76272583007812
"SWAIN","2006-04-01",-3.09652709960938
"OTIS","2006-05-01",-3.16262817382812
"CHSWRR","2006-05-01",-4.4466552734375
"CHSWRG","2006-05-01",-4.4466552734375
"PSSB","2006-05-01",-4.33224487304688
"PSFB","2006-05-01",-4.33224487304688
"SYSE","2006-05-01",-4.55532836914062
"SYSW","2006-05-01",-4.55532836914062
"SYLM","2006-05-01",-4.55532836914062
"JBAB","2006-05-01",-4.26513671875
"NRBW","2006-05-01",-4.536376953125
"MEBB","2006-05-01",-4.536376953125
"MEKB","2006-05-01",-4.536376953125
"MEPA","2006-05-01",-4.536376953125
"SWAIN","2006-05-01",-3.60293579101562
"OTIS","2006-06-01",-3.22286987304688
"CHSWRR","2006-06-01",-4.36557006835938
"CHSWRG","2006-06-01",-4.36557006835938
"PSSB","2006-06-01",-4.3917236328125
"PSFB","2006-06-01",-4.3917236328125
"SYSE","2006-06-01",-4.69097900390625
"SYSW","2006-06-01",-4.69097900390625
"SYLM","2006-06-01",-4.69097900390625
"JBAB","2006-06-01",-4.65740966796875
"NRBW","2006-06-01",-5.01437377929688
"MEBB","2006-06-01",-5.01437377929688
"MEKB","2006-06-01",-5.01437377929688
"MEPA","2006-06-01",-5.01437377929688
"SWAIN","2006-06-01",-3.592041015625
"OTIS","2006-07-01",-2.92874145507812
"CHSWRR","2006-07-01",-3.60052490234375
"CHSWRG","2006-07-01",-3.60052490234375
"PSSB","2006-07-01",-3.61328125
"PSFB","2006-07-01",-3.61328125
"SYSE","2006-07-01",-3.79476928710938
"SYSW","2006-07-01",-3.79476928710938
"SYLM","2006-07-01",-3.79476928710938
"JBAB","2006-07-01",-4.02435302734375
"NRBW","2006-07-01",-4.34564208984375
"MEBB","2006-07-01",-4.34564208984375
"MEKB","2006-07-01",-4.34564208984375
"MEPA","2006-07-01",-4.34564208984375
"SWAIN","2006-07-01",-3.09603881835938
"OTIS","2006-08-01",-2.07684326171875
"CHSWRR","2006-08-01",-2.43988037109375
"CHSWRG","2006-08-01",-2.43988037109375
"PSSB","2006-08-01",-2.49896240234375
"PSFB","2006-08-01",-2.49896240234375
"SYSE","2006-08-01",-2.79232788085938
"SYSW","2006-08-01",-2.79232788085938
"SYLM","2006-08-01",-2.79232788085938
"JBAB","2006-08-01",-2.87722778320312
"NRBW","2006-08-01",-3.06393432617188
"MEBB","2006-08-01",-3.06393432617188
"MEKB","2006-08-01",-3.06393432617188
"MEPA","2006-08-01",-3.06393432617188
"SWAIN","2006-08-01",-2.04019165039062
"OTIS","2006-09-01",-1.0972900390625
"CHSWRR","2006-09-01",-1.12576293945312
"CHSWRG","2006-09-01",-1.12576293945312
"PSSB","2006-09-01",-1.29782104492188
"PSFB","2006-09-01",-1.29782104492188
"SYSE","2006-09-01",-1.4820556640625
"SYSW","2006-09-01",-1.4820556640625
"SYLM","2006-09-01",-1.4820556640625
"JBAB","2006-09-01",-1.5859375
"NRBW","2006-09-01",-1.4156494140625
"MEBB","2006-09-01",-1.4156494140625
"MEKB","2006-09-01",-1.4156494140625
"MEPA","2006-09-01",-1.4156494140625
"SWAIN","2006-09-01",-1.11154174804688
"OTIS","2006-10-01",0.475433349609375
"CHSWRR","2006-10-01",0.399932861328125
"CHSWRG","2006-10-01",0.399932861328125
"PSSB","2006-10-01",0.403839111328125
"PSFB","2006-10-01",0.403839111328125
"SYSE","2006-10-01",0.335052490234375
"SYSW","2006-10-01",0.335052490234375
"SYLM","2006-10-01",0.335052490234375
"JBAB","2006-10-01",0.6527099609375
"NRBW","2006-10-01",0.739349365234375
"MEBB","2006-10-01",0.739349365234375
"MEKB","2006-10-01",0.739349365234375
"MEPA","2006-10-01",0.739349365234375
"SWAIN","2006-10-01",0.492950439453125
"OTIS","2006-11-01",0.710845947265625
"CHSWRR","2006-11-01",0.816375732421875
"CHSWRG","2006-11-01",0.816375732421875
"PSSB","2006-11-01",0.575592041015625
"PSFB","2006-11-01",0.575592041015625
"SYSE","2006-11-01",0.604583740234375
"SYSW","2006-11-01",0.604583740234375
"SYLM","2006-11-01",0.604583740234375
"JBAB","2006-11-01",0.908843994140625
"NRBW","2006-11-01",0.7872314453125
"MEBB","2006-11-01",0.7872314453125
"MEKB","2006-11-01",0.7872314453125
"MEPA","2006-11-01",0.7872314453125
"SWAIN","2006-11-01",0.572265625
"OTIS","2006-12-01",0.024810791015625
"CHSWRR","2006-12-01",0.083251953125
"CHSWRG","2006-12-01",0.083251953125
"PSSB","2006-12-01",-0.13238525390625
"PSFB","2006-12-01",-0.13238525390625
"SYSE","2006-12-01",-0.194000244140625
"SYSW","2006-12-01",-0.194000244140625
"SYLM","2006-12-01",-0.194000244140625
"JBAB","2006-12-01",-0.08355712890625
"NRBW","2006-12-01",-0.37554931640625
"MEBB","2006-12-01",-0.37554931640625
"MEKB","2006-12-01",-0.37554931640625
"MEPA","2006-12-01",-0.37554931640625
"SWAIN","2006-12-01",-0.19976806640625
"OTIS","2007-01-01",0.175994873046875
"CHSWRR","2007-01-01",0.652679443359375
"CHSWRG","2007-01-01",0.652679443359375
"PSSB","2007-01-01",0.562530517578125
"PSFB","2007-01-01",0.562530517578125
"SYSE","2007-01-01",0.3046875
"SYSW","2007-01-01",0.3046875
"SYLM","2007-01-01",0.3046875
"JBAB","2007-01-01",0.14874267578125
