"site","time","SST"
"OTIS","2006-01-01",0
"CHSWRR","2006-01-01",0
"CHSWRG","2006-01-01",0
"PSSB","2006-01-01",0
"PSFB","2006-01-01",0
"SYSE","2006-01-01",0
"SYSW","2006-01-01",0
"SYLM","2006-01-01",0
"JBAB","2006-01-01",0
"NRBW","2006-01-01",0
"MEBB","2006-01-01",0
"MEKB","2006-01-01",0
"MEPA","2006-01-01",0
"SWAIN","2006-01-01",0
"OTIS","2006-02-01",-0.849822998046875
"CHSWRR","2006-02-01",-1.75634765625
"CHSWRG","2006-02-01",-1.75634765625
"PSSB","2006-02-01",-1.50518798828125
"PSFB","2006-02-01",-1.50518798828125
"SYSE","2006-02-01",-1.66986083984375
"SYSW","2006-02-01",-1.66986083984375
"SYLM","2006-02-01",-1.66986083984375
"JBAB","2006-02-01",-1.29840087890625
"NRBW","2006-02-01",-1.42111206054688
"MEBB","2006-02-01",-1.42111206054688
"MEKB","2006-02-01",-1.42111206054688
"MEPA","2006-02-01",-1.42111206054688
"SWAIN","2006-02-01",-1.13531494140625
"OTIS","2006-03-01",-1.813232421875
"CHSWRR","2006-03-01",-2.92575073242188
"CHSWRG","2006-03-01",-2.92575073242188
"PSSB","2006-03-01",-2.78005981445312
"PSFB","2006-03-01",-2.78005981445312
"SYSE","2006-03-01",-3.01345825195312
"SYSW","2006-03-01",-3.01345825195312
"SYLM","2006-03-01",-3.01345825195312
"JBAB","2006-03-01",-2.726806640625
"NRBW","2006-03-01",-2.74899291992188
"MEBB","2006-03-01",-2.74899291992188
"MEKB","2006-03-01",-2.74899291992188
"MEPA","2006-03-01",-2.74899291992188
"SWAIN","2006-03-01",-2.25927734375
"OTIS","2006-04-01",-2.80386352539062
"CHSWRR","2006-04-01",-4.4991455078125
"CHSWRG","2006-04-01",-4.4991455078125
"PSSB","2006-04-01",-4.49578857421875
"PSFB","2006-04-01",-4.49578857421875
"SYSE","2006-04-01",-4.65524291992188
"SYSW","2006-04-01",-4.65524291992188
"SYLM","2006-04-01",-4.65524291992188
"JBAB","2006-04-01",-4.26809692382812
"NRBW","2006-04-01",-4.22372436523438
"MEBB","2006-04-01",-4.22372436523438
"MEKB","2006-04-01",-4.22372436523438
"MEPA","2006-04-01",-4.22372436523438
"SWAIN","2006-04-01",-3.18963623046875
"OTIS","2006-05-01",-3.50216674804688
"CHSWRR","2006-05-01",-5.1956787109375
"CHSWRG","2006-05-01",-5.1956787109375
"PSSB","2006-05-01",-5.07080078125
"PSFB","2006-05-01",-5.07080078125
"SYSE","2006-05-01",-5.234130859375
"SYSW","2006-05-01",-5.234130859375
"SYLM","2006-05-01",-5.234130859375
"JBAB","2006-05-01",-5.07147216796875
"NRBW","2006-05-01",-5.07046508789062
"MEBB","2006-05-01",-5.07046508789062
"MEKB","2006-05-01",-5.07046508789062
"MEPA","2006-05-01",-5.07046508789062
"SWAIN","2006-05-01",-3.8404541015625
"OTIS","2006-06-01",-3.50228881835938
"CHSWRR","2006-06-01",-4.74526977539062
"CHSWRG","2006-06-01",-4.74526977539062
"PSSB","2006-06-01",-4.63687133789062
"PSFB","2006-06-01",-4.63687133789062
"SYSE","2006-06-01",-4.72018432617188
"SYSW","2006-06-01",-4.72018432617188
"SYLM","2006-06-01",-4.72018432617188
"JBAB","2006-06-01",-4.88973999023438
"NRBW","2006-06-01",-4.96359252929688
"MEBB","2006-06-01",-4.96359252929688
"MEKB","2006-06-01",-4.96359252929688
"MEPA","2006-06-01",-4.96359252929688
"SWAIN","2006-06-01",-3.88961791992188
"OTIS","2006-07-01",-3.10455322265625
"CHSWRR","2006-07-01",-3.85009765625
"CHSWRG","2006-07-01",-3.85009765625
"PSSB","2006-07-01",-3.78582763671875
"PSFB","2006-07-01",-3.78582763671875
"SYSE","2006-07-01",-3.89190673828125
"SYSW","2006-07-01",-3.89190673828125
"SYLM","2006-07-01",-3.89190673828125
"JBAB","2006-07-01",-4.09103393554688
"NRBW","2006-07-01",-4.17437744140625
"MEBB","2006-07-01",-4.17437744140625
"MEKB","2006-07-01",-4.17437744140625
"MEPA","2006-07-01",-4.17437744140625
"SWAIN","2006-07-01",-3.25634765625
"OTIS","2006-08-01",-2.12030029296875
"CHSWRR","2006-08-01",-2.46603393554688
"CHSWRG","2006-08-01",-2.46603393554688
"PSSB","2006-08-01",-2.5450439453125
"PSFB","2006-08-01",-2.5450439453125
"SYSE","2006-08-01",-2.83999633789062
"SYSW","2006-08-01",-2.83999633789062
"SYLM","2006-08-01",-2.83999633789062
"JBAB","2006-08-01",-3.1011962890625
"NRBW","2006-08-01",-3.24667358398438
"MEBB","2006-08-01",-3.24667358398438
"MEKB","2006-08-01",-3.24667358398438
"MEPA","2006-08-01",-3.24667358398438
"SWAIN","2006-08-01",-2.09600830078125
"OTIS","2006-09-01",-0.9398193359375
"CHSWRR","2006-09-01",-1.375
"CHSWRG","2006-09-01",-1.375
"PSSB","2006-09-01",-1.10986328125
"PSFB","2006-09-01",-1.10986328125
"SYSE","2006-09-01",-1.2552490234375
"SYSW","2006-09-01",-1.2552490234375
"SYLM","2006-09-01",-1.2552490234375
"JBAB","2006-09-01",-1.23831176757812
"NRBW","2006-09-01",-0.96307373046875
"MEBB","2006-09-01",-0.96307373046875
"MEKB","2006-09-01",-0.96307373046875
"MEPA","2006-09-01",-0.96307373046875
"SWAIN","2006-09-01",-0.90283203125
"OTIS","2006-10-01",0.803253173828125
"CHSWRR","2006-10-01",0.66107177734375
"CHSWRG","2006-10-01",0.66107177734375
"PSSB","2006-10-01",0.402069091796875
"PSFB","2006-10-01",0.402069091796875
"SYSE","2006-10-01",0.54229736328125
"SYSW","2006-10-01",0.54229736328125
"SYLM","2006-10-01",0.54229736328125
"JBAB","2006-10-01",0.576446533203125
"NRBW","2006-10-01",0.7125244140625
"MEBB","2006-10-01",0.7125244140625
"MEKB","2006-10-01",0.7125244140625
"MEPA","2006-10-01",0.7125244140625
"SWAIN","2006-10-01",0.8680419921875
"OTIS","2006-11-01",0.7769775390625
"CHSWRR","2006-11-01",0.296112060546875
"CHSWRG","2006-11-01",0.296112060546875
"PSSB","2006-11-01",0.213714599609375
"PSFB","2006-11-01",0.213714599609375
"SYSE","2006-11-01",0.2900390625
"SYSW","2006-11-01",0.2900390625
"SYLM","2006-11-01",0.2900390625
"JBAB","2006-11-01",0.5245361328125
"NRBW","2006-11-01",0.533447265625
"MEBB","2006-11-01",0.533447265625
"MEKB","2006-11-01",0.533447265625
"MEPA","2006-11-01",0.533447265625
"SWAIN","2006-11-01",0.7113037109375
"OTIS","2006-12-01",0.20892333984375
"CHSWRR","2006-12-01",-0.279327392578125
"CHSWRG","2006-12-01",-0.279327392578125
"PSSB","2006-12-01",-0.41796875
"PSFB","2006-12-01",-0.41796875
"SYSE","2006-12-01",-0.3372802734375
"SYSW","2006-12-01",-0.3372802734375
"SYLM","2006-12-01",-0.3372802734375
"JBAB","2006-12-01",-0.1849365234375
"NRBW","2006-12-01",-0.360626220703125
"MEBB","2006-12-01",-0.360626220703125
"MEKB","2006-12-01",-0.360626220703125
"MEPA","2006-12-01",-0.360626220703125
"SWAIN","2006-12-01",-0.1072998046875
"OTIS","2007-01-01",0.266204833984375
"CHSWRR","2007-01-01",-0.50384521484375
"CHSWRG","2007-01-01",-0.50384521484375
"PSSB","2007-01-01",-1.02459716796875
"PSFB","2007-01-01",-1.02459716796875
"SYSE","2007-01-01",-0.936981201171875
"SYSW","2007-01-01",-0.936981201171875
"SYLM","2007-01-01",-0.936981201171875
"JBAB","2007-01-01",-0.6866455078125
